Timestamp,Barcode,Total Weight,Fruit Number,Fruit Fresh Weight (3),Brix,Truss Weight,Total Fruit Weight,Fruit Dry Weight (3),D/F,Total DW,Individual Fruit Weight,Red fruit weight,FW:DW,Drymatter%,Notes,,,,
1/20/2021 12:24:11,1-8-A,54.85,6,24.87,11.9,8.75,46.09,2.57,0.103337354242059,4.76281865701649,7.68166666666667,8.29,9.67704280155642,10.3337354242059,,,,,
1/20/2021 12:56:36,1-8-B,72.8,7,25.02,10.5,8.73,64.07,2.59,0.103517186250999,6.63234612310152,9.15285714285714,8.34,9.66023166023166,10.3517186250999,,,,,
1/20/2021 12:51:42,1-9-A,56.33,9,17.51,12,9.9,46.42,2.07,0.118218161050828,5.48768703597944,5.15777777777778,5.83666666666667,8.45893719806763,11.8218161050828,,,,,
1/20/2021 12:53:23,1-9-B,73.3,11,20.1,,10.26,63.05,2.82,0.140298507462687,8.84582089552239,5.73181818181818,6.7,7.12765957446808,14.0298507462687,,,,,
1/20/2021 12:54:55,1-10-A,75.63,7,30.53,11.7,11.18,64.06,3.25,0.106452669505405,6.81935800851621,9.15142857142857,10.1766666666667,9.39384615384616,10.6452669505405,,,,,
1/20/2021 12:10:51,1-10-B,112.32,10,29.61,10,12.33,99.98,3.14,0.106045254981425,10.6024045930429,9.998,9.87,9.42993630573248,10.6045254981425,,,,,
1/20/2021 12:42:18,1-11-A,81.6,7,28.38,10.4,11.4,70.19,2.68,0.094432699083862,6.62823114869626,10.0271428571429,9.46,10.589552238806,9.44326990838619,,,,,
1/20/2021 12:21:09,1-11-B,59.69,6,26.27,11.9,10.84,48.92,2.75,0.104682146935668,5.12105062809288,8.15333333333333,8.75666666666667,9.55272727272727,10.4682146935668,,,,,
1/20/2021 12:43:59,1-12-A,55.44,8,16.4,,8.92,46.22,2.44,0.148780487804878,6.87663414634146,5.7775,5.46666666666667,6.72131147540984,14.8780487804878,,,,,
1/20/2021 12:07:27,1-12-B,50.5,5,28.58,12.2,9.84,40.65,3.24,0.113365990202939,4.60832750174948,8.13,9.52666666666667,8.82098765432099,11.3365990202939,,,,,
1/20/2021 11:30:28,2-1-A,102.03,10,28.77,8.9,12.13,90.1,2.6,0.090371915189434,8.14250955856795,9.01,9.59,11.0653846153846,9.03719151894334,,,,,
1/20/2021 12:02:23,2-1-B,97.54,9,33.26,8.8,11.81,85.88,3.21,0.096512327119663,8.28847865303668,9.54222222222222,11.0866666666667,10.3613707165109,9.65123271196633,,,,,
1/20/2021 11:42:29,2-2-A,95.82,9,30.57,8.6,11.26,84.56,2.67,0.087340529931305,7.38551521099117,9.39555555555556,10.19,11.4494382022472,8.73405299313052,,,,,
1/20/2021 11:53:32,2-2-B,120.9,10,38.98,9.5,11.86,109.02,3.7,0.094920472036942,10.3482298614674,10.902,12.9933333333333,10.5351351351351,9.4920472036942,,,,,
1/20/2021 11:44:23,2-3-A,76.06,7,29.12,9,11.2,64.93,2.7,0.09271978021978,6.02029532967033,9.27571428571429,9.70666666666667,10.7851851851852,9.27197802197802,,,,,
1/20/2021 11:55:01,2-3-B,60.89,6,24.45,8.5,11.32,49.53,2,0.081799591002045,4.05153374233129,8.255,8.15,12.225,8.1799591002045,,,,,
1/20/2021 11:47:20,2-4-A,75.13,10,19.85,8.5,8.99,66.23,1.97,0.099244332493703,6.57295214105794,6.623,6.61666666666667,10.0761421319797,9.92443324937028,,,,,
1/20/2021 12:05:44,2-4-B,59.35,8,19.08,9.5,8.15,51.16,1.74,0.091194968553459,4.66553459119497,6.395,6.36,10.9655172413793,9.11949685534592,,,,,
1/20/2021 11:51:39,2-5-A,75.61,7,29.46,9.6,10.48,65.32,2.94,0.09979633401222,6.51869653767821,9.33142857142857,9.82,10.0204081632653,9.97963340122199,,,,,
1/20/2021 11:33:50,2-5-B,99.39,7,42.65,9.5,11.65,87.73,4.1,0.096131301289566,8.43359906213365,12.5328571428571,14.2166666666667,10.4024390243902,9.61313012895663,,,,,
1/20/2021 12:00:11,2-6-A,54,7,22.38,9,9.46,44.68,1.88,0.084003574620197,3.75327971403038,6.38285714285714,7.46,11.9042553191489,8.40035746201966,,,,,
1/20/2021 12:15:00,2-6-B,36.82,4,24.63,8.7,7.96,28.91,2.14,0.086885911490053,2.51187170117743,7.2275,8.21,11.5093457943925,8.68859114900528,,,,,
1/20/2021 12:08:58,2-7-A,99.65,10,30.89,10.6,10.96,88.73,2.93,0.094852703140175,8.41628034962771,8.873,10.2966666666667,10.542662116041,9.48527031401748,,,,,
1/20/2021 12:16:30,2-7-B,73.85,8,24.18,8.7,9.34,64.54,2.15,0.088916459884202,5.73866832092639,8.0675,8.06,11.246511627907,8.89164598842018,,,,,
1/20/2021 12:12:55,2-8-A,109.96,10,33.26,10,12.19,97.8,2.99,0.089897775105232,8.79200240529164,9.78,11.0866666666667,11.123745819398,8.98977751052315,,,,,
1/20/2021 12:18:02,2-8-B,83.39,7,22.43,8.8,9.18,74.27,1.89,0.084262148907713,6.25814979937584,10.61,7.47666666666667,11.8677248677249,8.42621489077129,,,,,
1/20/2021 11:49:34,2-9-A,102.29,9,34.96,8.9,12.01,90.36,3.23,0.092391304347826,8.34847826086957,10.04,11.6533333333333,10.8235294117647,9.23913043478261,,,,,
1/20/2021 12:04:16,2-9-B,101.74,10,30.43,8.5,10.52,91.41,2.65,0.087085113374959,7.960450213605,9.141,10.1433333333333,11.4830188679245,8.70851133749589,,,,,
1/20/2021 11:36:14,2-10-A,90.99,10,29.54,10.3,11.31,79.79,2.94,0.099526066350711,7.94118483412322,7.979,9.84666666666667,10.0476190476191,9.95260663507109,,,,,
1/20/2021 11:58:34,2-10-B,114.48,9,41.75,9.8,10.24,104.35,4.09,0.097964071856287,10.2225508982036,11.5944444444444,13.9166666666667,10.2078239608802,9.79640718562874,,,,,
1/20/2021 11:38:23,2-11-A,79.52,9,25.56,10.6,10.24,69.35,2.54,0.099374021909233,6.89158841940532,7.70555555555556,8.52,10.0629921259842,9.93740219092332,,,,,
1/20/2021 12:19:33,2-11-B,95.9,9,31.73,12.5,9.55,86.3,3.24,0.102111566341002,8.81222817522849,9.58888888888889,10.5766666666667,9.79320987654321,10.2111566341002,,,,,
1/20/2021 11:56:59,2-12-A,68.05,9,20.32,11.4,10.89,57.27,2.4,0.118110236220472,6.76417322834646,6.36333333333333,6.77333333333333,8.46666666666667,11.8110236220472,,,,,
1/20/2021 11:40:45,2-12-B,131.02,10,35.96,10.5,14.05,116.92,3.46,0.096218020022247,11.2498109010011,11.692,11.9866666666667,10.393063583815,9.6218020022247,,,,,
