%time,EC_slab1,EC_slab2,WC_slab1,WC_slab2,t_slab1,t_slab2
43815.13194,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.13542,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.13889,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.14236,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.14583,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.14931,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.15278,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.15625,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.15972,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.16319,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.16667,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.17014,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.17361,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.17708,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.18056,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.18403,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.18750,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.19097,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.19444,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.19792,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.20139,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.20486,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.20833,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.21181,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.21528,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.21875,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.22222,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.22569,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.22917,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.23264,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.23611,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.23958,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.24306,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.24653,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.25000,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.25347,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.25694,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.26042,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.26389,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.26736,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.27083,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.27431,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.27778,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.28125,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.28472,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.28819,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.29167,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.29514,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.29861,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.30208,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.30556,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.30903,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.31250,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.31597,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.31944,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.32292,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.32639,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.32986,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.33333,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.33681,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.34028,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.34375,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.34722,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.35069,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.35417,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.35764,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.36111,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.36458,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.36806,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.37153,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.37500,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.37847,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.38194,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.38542,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.38889,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.39236,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.39583,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.39931,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.40278,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.40625,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.40972,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.41319,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.41667,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.42014,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.42361,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.42708,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.43056,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.43403,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.43750,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.44097,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.44444,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.44792,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.45139,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.45486,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.45833,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.46181,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.46528,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.46875,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.47222,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.47569,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.47917,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.48264,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.48611,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.48958,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.49306,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.49653,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.50000,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.50347,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.50694,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.51042,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.51389,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.51736,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.52083,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.52431,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.52778,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.53125,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.53472,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.53819,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.54167,  4.8,  4.2, 92.3, 91.6, 21.9, 22.4
43815.54514,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.54861,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.55208,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.55556,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.55903,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.56250,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.56597,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.56944,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.57292,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.57639,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.57986,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.58333,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.58681,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.59028,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.59375,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.59722,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.60069,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.60417,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.60764,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.61111,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.61458,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.61806,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.62153,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.62500,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.62847,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.63194,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.63542,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.63889,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.64236,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.64583,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.64931,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.65278,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.65625,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.65972,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.66319,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.66667,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.67014,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.67361,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.67708,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.68056,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.68403,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.68750,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.69097,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.69444,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.69792,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.70139,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.70486,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.70833,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.71181,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.71528,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.71875,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.72222,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.72569,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.72917,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.73264,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.73611,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.73958,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.74306,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.74653,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.75000,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.75347,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.75694,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.76042,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.76389,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.76736,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.77083,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.77431,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.77778,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.78125,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.78472,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.78819,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.79167,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.79514,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.79861,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.80208,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.80556,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.80903,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.81250,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.81597,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.81944,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.82292,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.82639,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.82986,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.83333,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.83681,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.84028,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.84375,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.84722,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.85069,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.85417,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.85764,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.86111,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.86458,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.86806,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.87153,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.87500,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.87847,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.88194,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.88542,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.88889,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.89236,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.89583,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.89931,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.90278,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.90625,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.90972,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.91319,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.91667,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.92014,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.92361,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.92708,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.93056,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.93403,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.93750,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.94097,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.94444,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.94792,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.95139,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.95486,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.95833,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.96181,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.96528,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.96875,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.97222,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.97569,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.97917,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.98264,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.98611,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.98958,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.99306,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.99653,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.00000,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.00347,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.00694,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.01042,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.01389,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.01736,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.02083,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.02431,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.02778,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.03125,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.03472,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.03819,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.04167,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.04514,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.04861,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.05208,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.05556,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.05903,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.06250,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.06597,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.06944,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.07292,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.07639,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.07986,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.08333,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.08681,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.09028,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.09375,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.09722,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.10069,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.10417,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.10764,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.11111,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.11458,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.11806,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.12153,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.12500,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.12847,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.13194,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.13542,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.13889,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.14236,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.14583,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.14931,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.15278,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.15625,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.15972,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.16319,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.16667,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.17014,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.17361,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.17708,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.18056,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.18403,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.18750,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.19097,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.19444,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.19792,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.20139,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.20486,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.20833,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.21181,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.21528,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.21875,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.22222,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.22569,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.22917,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.23264,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.23611,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.23958,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.24306,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.24653,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.25000,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.25347,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.25694,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.26042,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.26389,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.26736,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.27083,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.27431,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.27778,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.28125,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.28472,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.28819,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.29167,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.29514,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.29861,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.30208,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.30556,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.30903,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.31250,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.31597,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.31944,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.32292,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.32639,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.32986,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.33333,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43816.33681,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
