%Time ,Heat_cons,ElecHigh,ElecLow,CO2_cons,Irr,Drain
43883,2.71,1.6,0.9,0.113,3.36,0.66
43884,2.88,1.6,0.9,0.118,2.88,0.35
43885,2.96,1.6,0.9,0.072,3.12,0.37
43886,2.7,0.9,0.9,0.074,3.36,0.87
43887,3.71,1.6,0.9,0.062,3.6,1.16
43888,3.53,1.6,0.9,0.056,4.8,0.66
43889,3.23,1.6,0.9,0.07,4.08,1.16
43890,2.91,1.6,0.9,0.113,3.36,0.99
43891,3.26,1.6,0.9,0.085,4.8,0.71
43892,3.33,1.6,0.9,0.065,4.08,0.83
43893,3.26,1.6,0.9,0.093,4.56,0.91
43894,2.89,1.6,0.9,0.087,5.76,1.22
43895,2.91,1.6,0.9,0.07,3.12,0.62
43896,2.77,1.6,0.9,0.082,4.08,0.94
43897,2.22,1.6,0.9,0.086,4.08,0.64
43898,2.44,1.6,0.9,0.106,3.84,1.03
43899,2.46,1.6,0.9,0.096,4.08,1.02
43900,2.35,1.6,0.9,0.101,4.32,1.62
43901,1.91,1.6,0.9,0.113,3.6,1
43902,2.49,1.6,0.9,0.123,6,1.38
43903,2.97,1.6,0.9,0.096,3.84,1.02
43904,2.3,1.6,0.9,0.081,3.84,0.67
43905,1.98,1.6,0.9,0.098,3.12,0.44
43906,2.35,1.6,0.9,0.087,4.08,0.89
43907,1.99,1.6,0.9,0.095,4.32,0.8
43908,2.03,1.6,0.9,0.109,4.32,0.62
43909,2.16,1.6,0.8,0.085,3.6,0.82
43910,2.59,1.6,0.8,0.091,4.08,1.39
43911,3.1,1.3,0.8,0.093,6.96,2.63
43912,3.02,1.3,0.8,0.091,6.24,2.66
43913,3,1.2,0.8,0.09,6.72,2.96
43914,2.72,1.3,0.8,0.09,5.76,2.05
43915,2.59,1.3,0.8,0.096,6.48,2.72
43916,2.59,1.3,0.8,0.099,5.76,2.15
43917,2.57,1.5,0.8,0.102,5.76,1.97
43918,2.64,0.9,0.8,0.098,6,2.76
43919,3.12,0.8,0.7,0.096,6.24,2.57
43920,2.51,1.5,0.7,0.068,5.76,2.83
43921,2.52,0.9,0.8,0.084,5.28,1.77
43922,2.36,1.6,0.7,0.055,4.56,1.22
43923,2.01,1.6,0.7,0.083,4.08,1.41
43924,2.04,1.4,0.7,0.093,5.16,2.4
43925,2.05,0.8,0.7,0.085,7.2,3.73
43926,1.66,0.8,0.7,0.1,7.2,3.08
43927,1.61,0.8,0.7,0.099,6.84,2.56
43928,1.48,0.6,0.7,0.098,6.12,2.92
43929,1.46,0.5,0.7,0.074,6.48,3.09
43930,1.47,0.6,0.7,0.098,6.84,3.07
43931,1.5,0.5,0.7,0.104,7.92,3.69
43932,0.53,0.5,0.6,0.094,7.56,4.09
43933,0.53,0.5,0.6,0.084,7.2,3.5
43934,0.99,0.5,0.6,0.08,6.84,3.12
43935,1.15,1.7,0.6,0.073,6.48,2.69
43936,0.89,0.5,0.6,0.088,7.56,3.15
43937,0.65,0.5,0.6,0.097,7.56,2.67
43938,0.66,0.5,0.6,0.112,9.36,3.88
43939,0.63,1.9,0.6,0.075,5.76,2.09
43940,0.6,0.4,0.4,0.109,7.92,1.95
43941,0.61,0.4,0.6,0.123,8.28,2.61
43942,0.53,0.4,0.6,0.134,9,3.71
43943,0.46,0.4,0.6,0.132,8.28,1.82
43944,0.44,0.4,0.6,0.107,10.44,2.39
43945,0.62,0.4,0.6,0.108,7.92,1.3
43946,0.78,1,0.6,0.079,9.72,2.14
43947,0.83,0.4,0.6,0.08,8.28,3.05
43948,0.68,0.4,0.6,0.104,8.28,3.12
43949,0.91,1.9,0.6,0.054,5.76,2.44
43950,0.59,1.8,0.6,0.105,7.2,3.34
43951,0.61,1.3,0.6,0.125,6.84,3.55
43952,0.73,1.8,0.6,0.119,7.56,4.61
43953,0.58,0.7,0.6,0.127,8.64,5.5
43954,0.57,0.8,0.4,0.073,6.84,4.22
43955,0.58,0.3,0.4,0.101,7.2,3.83
43956,0.82,0.2,0.4,0.099,7.92,4.52
43957,0.78,0.1,0.4,0.08,7.56,3.76
43958,0.68,0.2,0.4,0.06,8.64,4.65
43959,0.48,0.3,0.4,0.056,6.48,2.88
43960,0.46,0,0,0.07,6.48,2.51
43961,0.95,0,0,0.056,6.12,3.03
43962,1.39,0,0,0.081,5.76,2.77
43963,0.85,0,0,0.049,5.4,2.76
43964,1.12,0,0,0.047,5.4,3.44
43965,1.27,0,0,0.061,7.2,4.98
43966,1.12,0,0,0.062,6.12,2.98
43967,0.64,0,0,0.052,5.04,2.33
43968,0.49,0,0,0.074,4.68,1.33
43969,0.43,0,0,0.076,5.4,2.04
43970,0.42,0,0,0.067,5.4,2.46
43971,0.39,0,0,0.054,4.68,1.94
43972,0.37,0,0,0.064,5.4,2.25
43973,0.37,0,0,0.065,4.68,2.08
43974,0.42,0,0,0.09,4.68,1.94
43975,0.92,0,0,0.036,3.96,2.65
43976,0.43,0,0,0.065,5.4,2.9
43977,0.42,0,0,0.061,5.4,2.69
43978,0.44,0,0,0.088,5.4,2.33
43979,0.98,0,0,0.101,5.76,2.94
43980,1.1,0,0,0.097,4.68,1.55
